Clock Issue: TimeControl/tseg_reg_i/tseg1mpl_iC_reg[4], TimeControl/tseg_reg_i/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Diff0/a_delayedC_reg[0], TimeControl/freqTrim/pid_regler0/Diff0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Diff0/a_delayedA_reg[7], TimeControl/freqTrim/pid_regler0/Diff0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Diff0/a_delayedA_reg[6], TimeControl/freqTrim/pid_regler0/Diff0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Diff0/a_delayedA_reg[5], TimeControl/freqTrim/pid_regler0/Diff0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Diff0/a_delayedA_reg[4], TimeControl/freqTrim/pid_regler0/Diff0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Diff0/a_delayedA_reg[3], TimeControl/freqTrim/pid_regler0/Diff0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Diff0/a_delayedA_reg[2], TimeControl/freqTrim/pid_regler0/Diff0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Diff0/a_delayedA_reg[1], TimeControl/freqTrim/pid_regler0/Diff0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Diff0/a_delayedA_reg[0], TimeControl/freqTrim/pid_regler0/Diff0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Acc0/accC_reg[8], TimeControl/freqTrim/pid_regler0/Acc0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Acc0/accC_reg[7], TimeControl/freqTrim/pid_regler0/Acc0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Acc0/accC_reg[6], TimeControl/freqTrim/pid_regler0/Acc0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Acc0/accC_reg[5], TimeControl/freqTrim/pid_regler0/Acc0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Acc0/accC_reg[4], TimeControl/freqTrim/pid_regler0/Acc0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Acc0/accC_reg[3], TimeControl/freqTrim/pid_regler0/Acc0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Acc0/accC_reg[2], TimeControl/freqTrim/pid_regler0/Acc0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Acc0/accC_reg[1], TimeControl/freqTrim/pid_regler0/Acc0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Acc0/accC_reg[0], TimeControl/freqTrim/pid_regler0/Acc0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Acc0/accA_reg[8], TimeControl/freqTrim/pid_regler0/Acc0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Acc0/accA_reg[7], TimeControl/freqTrim/pid_regler0/Acc0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Acc0/accA_reg[6], TimeControl/freqTrim/pid_regler0/Acc0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Acc0/accA_reg[5], TimeControl/freqTrim/pid_regler0/Acc0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Acc0/accA_reg[4], TimeControl/freqTrim/pid_regler0/Acc0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Acc0/accA_reg[3], TimeControl/freqTrim/pid_regler0/Acc0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Acc0/accA_reg[2], TimeControl/freqTrim/pid_regler0/Acc0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Acc0/accA_reg[1], TimeControl/freqTrim/pid_regler0/Acc0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/pid_regler0/Acc0/accA_reg[0], TimeControl/freqTrim/pid_regler0/Acc0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/e_k_iC_reg[7], TimeControl/freqTrim/phasenfehler_reg0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/e_k_iC_reg[6], TimeControl/freqTrim/phasenfehler_reg0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/e_k_iC_reg[5], TimeControl/freqTrim/phasenfehler_reg0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/e_k_iC_reg[4], TimeControl/freqTrim/phasenfehler_reg0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/e_k_iC_reg[3], TimeControl/freqTrim/phasenfehler_reg0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/e_k_iC_reg[2], TimeControl/freqTrim/phasenfehler_reg0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/e_k_iC_reg[1], TimeControl/freqTrim/phasenfehler_reg0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/e_k_iC_reg[0], TimeControl/freqTrim/phasenfehler_reg0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/e_k_iA_reg[7], TimeControl/freqTrim/phasenfehler_reg0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/e_k_iA_reg[6], TimeControl/freqTrim/phasenfehler_reg0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/phasenfehler_reg0/e_k_iA_reg[5], TimeControl/freqTrim/phasenfehler_reg0/clockA_IBUF_BUFG
